Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,skills,Job_skills,skills_skills,Class
Assistant Manager - FOSA Analyst,IndiGo (InterGlobe Aviation Ltd),Gurgaon,On-site,0.538614821,0.216532813,87,Airlines/Aviation ,Mid-Senior level,Full-time,analytics business analytics communication data analysis data analytics,"'downloading', 'fosa', 'database', 'analysis', 'fosa'",'business analytics communication data analysis data',Class 1
Market Research Trainee,PW (PhysicsWallah),Noida,On-site,0.269280483,0.050883433,200,E-learning ,Entry level,Full-time,analytical skills business insights communication data collection focus groups market research marketing strategy microsoft excel research secondary research,'nps',"'skills business', 'market research marketing strategy microsoft excel research'",Class 2
Operations Executive - Contractual (Cleartrip),Flipkart,Bengaluru,On-site,0.538614821,0.514697109,200,Computer Software ,Entry level,Full-time,communication management information systems (mis) oral communication vendor management,"'job', 'teamcandidate', 'mis', 'excel', 'good', 'strong', 'playerindustrycorporate travel', 'travel', 'online travel agency', 'airline'",'mis',Class 3
"SBS - India Analyst, Process || Gurgaon",WM,Gurgaon,On-site,0.538614821,0.262815512,16,Environmental Services ,Mid-Senior level,Full-time,accounting software common sense communication concrete database management system (dbms) databases open accounts problem solving team management written communication,"'reconciles', 'audits', 'speed', 'high school diploma', 'ged', 'audit', 'accounts', 'finance', 'ability', 'outlook', 'word', 'powerpoint'","'software common sense', 'dbms', 'team management written'",Class 1
"Specialist, Collections",XPO,Pune,On-site,0.538614821,0.413848095,200,Transportation/Trucking/Railroad ,Entry level,Full-time,cash collection commerce communication customer experience dispute resolution grammar inbound marketing otc order to cash spelling,"'join xpo logistics', 'fortune', 'cash', 'collection', 'collections', 'make', 'resolve', 'submit', 'bachelor', 'order', 'cash', 'otc', 'strong', 'windows', 'hrc', 'oracle', 'getpaid', 'jira', 'able', 'percentagesxpo', 'xpo'","'cash', 'collection commerce communication customer experience dispute resolution grammar inbound'",Class 1
Junior Research Analyst,S&P Global,Hyderabad,On-site,0.538614821,0.363985773,200,Financial Services ,Entry level,Full-time,analytical skills communication communication training databases editing editorial english high proficiency oral communication proofreading,"'esg', 'esg', 'standardization', 'esg', 'articles', 'bylaws', 'companies', 'sustainability', 'csr reports', 'ability', 'written', 'verbal', 'english', 'esg research', 'qualifications', 'esg', 'msoffice', 'word', 'excel', 'powerpoint'",'skills communication',Class 1
Data Analyst,Maruti Suzuki India Limited,New Delhi,Hybrid,0.538614821,0.27947453,200,Automotive ,Entry level,Full-time,analytics data analytics data preparation data science data visualization,"'build', 'deploy machine', 'machine', 'eda', 'sql', 'hive', 'python', 'sas'",'data analytics data',Class 1
Senior Executive,Johnson Controls,Gurugram,On-site,0.538614821,0.738182653,200,Mechanical Or Industrial Engineering ,Mid-Senior level,Full-time,communication inbound marketing management information systems (mis),"'prior', 'customer service', 'communication skills', 'night'","'inbound marketing', 'mis'",Class 3
Collection Head,White Force Group,Delhi,On-site,0.026928048,0.002787976,200,Staffing & Recruiting ,Director,Full-time,cash collection collections management management information systems (mis) quality management tat training,"'field executives', 'quality', 'tat'","'cash', 'collection collections management management information systems', 'mis', 'quality management'",Class 2
Assistant Manager - Accounts,Jubilant Ingrevia Limited,Noida,On-site,0.269280483,0.010142267,187,Chemicals ,Entry level,Full-time,account management communication data analytics data preparation finance internal controls problem solving solver taxation written communication,"'export', 'bills lodgement', 'export bill discounting', 'lc', 'bank', 'brc', 'bill closure', 'payment', 'inward', 'ln', 'ln'",'account',Class 2
Collections Manager,Bizongo,Mumbai,Hybrid,0.026928048,0.00469252,200,Computer Software ,Mid-Senior level,Full-time,account reconciliation cash collection client accounts collections management days sales outstanding (dso) debt collection goods and services tax (gst) negotiation policies & procedures procurement,"'good', 'customers'","'account', 'dso', 'debt collection goods', 'services tax', 'gst', 'procedures'",Class 2
